routerName,routerFile,tableName,exportName,ownershipKind,notes
vipPortal.appointments.test,vipPortal.appointments.test.ts,clients,clients,direct-import,Direct Drizzle schema import in router file.
vipPortal.appointments.test,vipPortal.appointments.test.ts,invoiceLineItems,invoiceLineItems,direct-import,Direct Drizzle schema import in router file.
vipPortal.appointments.test,vipPortal.appointments.test.ts,invoices,invoices,direct-import,Direct Drizzle schema import in router file.
vipPortal.appointments.test,vipPortal.appointments.test.ts,notifications,notifications,direct-import,Direct Drizzle schema import in router file.
vipPortal.appointments.test,vipPortal.appointments.test.ts,users,users,direct-import,Direct Drizzle schema import in router file.
vipPortal.appointments.test,vipPortal.appointments.test.ts,vipPortalAuth,vipPortalAuth,direct-import,Direct Drizzle schema import in router file.
vipPortalAdmin.liveCatalog.test,vipPortalAdmin.liveCatalog.test.ts,clients,clients,direct-import,Direct Drizzle schema import in router file.
vipPortalAdmin.liveCatalog.test,vipPortalAdmin.liveCatalog.test.ts,vipPortalConfigurations,vipPortalConfigurations,direct-import,Direct Drizzle schema import in router file.
vipPortalLiveShopping,vipPortalLiveShopping.ts,batches,batches,direct-import,Direct Drizzle schema import in router file.
vipPortalLiveShopping,vipPortalLiveShopping.ts,products,products,direct-import,Direct Drizzle schema import in router file.
warehouseTransfers,warehouseTransfers.ts,batchLocations,batchLocations,direct-import,Direct Drizzle schema import in router file.
warehouseTransfers,warehouseTransfers.ts,inventoryMovements,inventoryMovements,direct-import,Direct Drizzle schema import in router file.
