finding_id,finding_kind,timestamp,short_title,problem_statement,state,owner_issue,owner_issue_title,proof_requirement,source_artifact,source_evidence_ref,notes,evidence_links
C083,narrated,00:09:57.824,There's like three different,There's like three different,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C083,No current evidence packet has yet closed this row.,
C084,narrated,00:10:00.000,"Like yeah, it's nested so many different times over.","Like yeah, it's nested so many different times over.",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C084,No current evidence packet has yet closed this row.,
C085,narrated,00:10:03.150,It's just a bunch of wasted space,It's just a bunch of wasted space,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C085,No current evidence packet has yet closed this row.,
C086,narrated,00:10:06.350,We can't have that also I want to be able to edit this stuff and this...,We can't have that also I want to be able to edit this stuff and this should also be showing the price ranges,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C086,No current evidence packet has yet closed this row.,
C087,narrated,00:10:26.100,This,This,rejected with evidence,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C087,Transcript filler or acknowledgment without a separate product request.,
C088,narrated,00:10:27.444,Should be up here all like the customer management shit because I jus...,Should be up here all like the customer management shit because I just want the order preview or no line item should be right here or preview should be done here I'm wondering if this work was already done and,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C088,No current evidence packet has yet closed this row.,
C089,narrated,00:10:47.344,just lost somewhere because I've already gone through this a few times,just lost somewhere because I've already gone through this a few times,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C089,No current evidence packet has yet closed this row.,
C090,narrated,00:10:55.444,"This is definitely the wrong place, this whole comfortable thing.","This is definitely the wrong place, this whole comfortable thing.",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C090,No current evidence packet has yet closed this row.,
C091,narrated,00:10:59.194,I think remove all the comfortable things anywhere but just here.,I think remove all the comfortable things anywhere but just here.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C091,No current evidence packet has yet closed this row.,
C092,narrated,00:11:05.894,This is just the only place you should be able to do that.,This is just the only place you should be able to do that.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C092,No current evidence packet has yet closed this row.,
C093,narrated,00:11:12.794,"Okay, this","Okay, this",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C093,Transcript filler or acknowledgment without a separate product request.,
C094,narrated,00:11:17.144,"doesn't make any sense either,","doesn't make any sense either,",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C094,Context-setting or already-carried-forward note pending explicit replay reuse.,
C095,narrated,00:11:18.594,unless...,unless...,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C095,Transcript filler or acknowledgment without a separate product request.,
C096,narrated,00:11:29.716,"Yeah, I don't know what this is even doing.","Yeah, I don't know what this is even doing.",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C096,Context-setting or already-carried-forward note pending explicit replay reuse.,
C097,narrated,00:11:38.366,"This needs to be defaulted to something based on the subcategory,","This needs to be defaulted to something based on the subcategory,",open,TER-696,Pricing profile propagation,pricing logic tests plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C097,No current evidence packet has yet closed this row.,
C098,narrated,00:11:45.016,the default margins.,the default margins.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C098,Context-setting or already-carried-forward note pending explicit replay reuse.,
C099,narrated,00:12:25.716,actually really make sense.,actually really make sense.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C099,Context-setting or already-carried-forward note pending explicit replay reuse.,
C100,narrated,00:12:31.916,I need to figure that out again within the context because right now ...,I need to figure that out again within the context because right now the way they do it is just like in the spreadsheet where they track everything it's basically just like in,open,TER-706,Photography queue redesign,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C100,No current evidence packet has yet closed this row.,
C101,narrated,00:12:48.816,the cogs they just have the price range and then,the cogs they just have the price range and then,open,TER-696,Pricing profile propagation,pricing logic tests plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C101,No current evidence packet has yet closed this row.,
C102,narrated,00:12:54.876,"When they do a sale, they just go back and make a note within","When they do a sale, they just go back and make a note within",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C102,Context-setting or already-carried-forward note pending explicit replay reuse.,
C103,narrated,00:13:02.926,the spreadsheet and that's what I'm trying to kind of like fight or p...,the spreadsheet and that's what I'm trying to kind of like fight or push up against is the simplicity that can come with a spreadsheet.,open,TER-706,Photography queue redesign,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C103,No current evidence packet has yet closed this row.,
C104,narrated,00:13:11.026,So can you figure that out?,So can you figure that out?,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C104,Context-setting or already-carried-forward note pending explicit replay reuse.,
C105,narrated,00:13:23.956,"Let's keep that for now,","Let's keep that for now,",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C105,Context-setting or already-carried-forward note pending explicit replay reuse.,
C106,narrated,00:13:25.006,but in general it,but in general it,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C106,Context-setting or already-carried-forward note pending explicit replay reuse.,
C107,narrated,00:13:31.506,should always be,should always be,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C107,Context-setting or already-carried-forward note pending explicit replay reuse.,
C108,narrated,00:13:35.006,FIFO when it comes to specific if there's multiple batches that have ...,FIFO when it comes to specific if there's multiple batches that have come from multiple lots from the same supplier it should be FIFO but,open,TER-697,Margin and FIFO clarity,pricing logic proof plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C108,No current evidence packet has yet closed this row.,
C109,narrated,00:13:52.084,That's only time also,That's only time also,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C109,Context-setting or already-carried-forward note pending explicit replay reuse.,
C110,narrated,00:13:58.384,yeah where,yeah where,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C110,Transcript filler or acknowledgment without a separate product request.,
C111,narrated,00:14:01.934,is the filter for this I'm just wondering if this revamp just got los...,is the filter for this I'm just wondering if this revamp just got lost somewhere okay,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C111,No current evidence packet has yet closed this row.,
C112,narrated,00:14:16.134,so,so,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C112,Transcript filler or acknowledgment without a separate product request.,
C113,narrated,00:14:17.396,"Thank you for finalizing that, but now just bump me back to create sa...","Thank you for finalizing that, but now just bump me back to create sales order. I think it should probably bump back to orders.",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C113,No current evidence packet has yet closed this row.,
C114,narrated,00:14:26.246,"I don't know what the hell that means, non-fulfillment mode.","I don't know what the hell that means, non-fulfillment mode.",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C114,Context-setting or already-carried-forward note pending explicit replay reuse.,
C115,narrated,00:14:45.684,See if this actually even calculated right.,See if this actually even calculated right.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C115,Context-setting or already-carried-forward note pending explicit replay reuse.,
C116,narrated,00:15:04.692,"Or it doesn't have validation errors,","Or it doesn't have validation errors,",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C116,Context-setting or already-carried-forward note pending explicit replay reuse.,
C117,narrated,00:15:06.442,it just doesn't have anything in it.,it just doesn't have anything in it.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C117,Context-setting or already-carried-forward note pending explicit replay reuse.,
C118,narrated,00:15:39.988,So this is confusing because it had a zero margin. And now,So this is confusing because it had a zero margin. And now,open,TER-697,Margin and FIFO clarity,pricing logic proof plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C118,Margin and FIFO explainability remains materially open.,
C119,narrated,00:15:47.288,it has a different margin. So I'm not sure if that's because of the p...,it has a different margin. So I'm not sure if that's because of the price range.,open,TER-697,Margin and FIFO clarity,pricing logic proof plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C119,No current evidence packet has yet closed this row.,
C120,narrated,00:15:53.638,"But either way, I wanna be able to like go back and edit this and may...","But either way, I wanna be able to like go back and edit this and maybe it just bumps back to the you know sales order creation thing and reloads it. I'm not sure, but that definitely needs to get solved.",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C120,No current evidence packet has yet closed this row.,
C121,narrated,00:16:25.268,Make relationships its own kind of headline one.,Make relationships its own kind of headline one.,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C121,Relationships is already promoted to top-level nav in the low-rebuild slice.,
C122,narrated,00:16:32.518,It shouldn't be under self.,It shouldn't be under self.,closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C122,Relationships is already promoted to top-level nav in the low-rebuild slice.,
C123,narrated,00:16:35.068,"See in see how this just like is automatically there, figure that out.","See in see how this just like is automatically there, figure that out.",closed with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C123,Stale relationship search persistence was removed in the low-rebuild slice.,
C124,narrated,00:16:41.868,And then,And then,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C124,Transcript filler or acknowledgment without a separate product request.,
C125,narrated,00:16:45.218,I should say add new client.,I should say add new client.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C125,No current evidence packet has yet closed this row.,
C126,narrated,00:16:52.368,We still need okay.,We still need okay.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C126,No current evidence packet has yet closed this row.,
C127,narrated,00:16:56.180,"Terry code,","Terry code,",rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C127,Transcript filler or acknowledgment without a separate product request.,
C128,narrated,00:16:57.130,"uh,","uh,",rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C128,Transcript filler or acknowledgment without a separate product request.,
C129,narrated,00:16:57.980,we need to ch- I've said this so many times but we just need to chang...,we need to ch- I've said this so many times but we just need to change this and also we're,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C129,No current evidence packet has yet closed this row.,
C130,narrated,00:17:10.530,"still using this wizard creation thing,","still using this wizard creation thing,",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C130,Main relationships entrypoint still uses the heavy wizard.,
C131,narrated,00:17:12.530,"um,","um,",rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C131,Transcript filler or acknowledgment without a separate product request.,
C132,narrated,00:17:13.580,which,which,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C132,Transcript filler or acknowledgment without a separate product request.,
C133,narrated,00:17:16.080,I thought we were moving away from.,I thought we were moving away from.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C133,Main relationships entrypoint still uses the heavy wizard.,
C134,narrated,00:17:17.430,See if other work has been done on this already.,See if other work has been done on this already.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C134,No current evidence packet has yet closed this row.,
C135,narrated,00:17:29.044,'Cause yeah.,'Cause yeah.,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C135,Transcript filler or acknowledgment without a separate product request.,
C136,narrated,00:17:31.394,This should be,This should be,open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C136,Terminology cleanup is not yet complete.,
C137,narrated,00:17:35.094,code name.,code name.,open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C137,Terminology cleanup is not yet complete.,
C138,narrated,00:17:40.094,"Yeah, contact name is fine.","Yeah, contact name is fine.",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C138,No current evidence packet has yet closed this row.,
C139,narrated,00:17:46.194,"And that should just be signal,","And that should just be signal,",open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C139,Terminology cleanup is not yet complete.,
C140,narrated,00:17:49.244,ID and phone number.,ID and phone number.,open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C140,Terminology cleanup is not yet complete.,
C141,narrated,00:17:55.594,Get rid of the business type thing.,Get rid of the business type thing.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C141,Lightweight first-pass field set is not yet complete.,
C142,narrated,00:18:03.572,terms.,terms.,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C142,Transcript filler or acknowledgment without a separate product request.,
C143,narrated,00:18:10.772,This isn't something that we should set here because it gets set else...,This isn't something that we should set here because it gets set elsewhere unless it's like what's the default.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C143,No current evidence packet has yet closed this row.,
C144,narrated,00:18:20.672,I guess this could say default and get rid of the address.,I guess this could say default and get rid of the address.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C144,Lightweight first-pass field set is not yet complete.,
C145,narrated,00:19:03.028,"This doesn't matter right now, but it shouldn't be an email,","This doesn't matter right now, but it shouldn't be an email,",open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C145,Username/email terminology cleanup is not yet complete.,
C146,narrated,00:19:06.228,it should be a username.,it should be a username.,open,TER-711,Relationships terminology cleanup,browser label audit,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C146,Username/email terminology cleanup is not yet complete.,
C147,narrated,00:19:46.452,I don't do this.,I don't do this.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C147,No current evidence packet has yet closed this row.,
C148,narrated,00:20:12.948,I shouldn't be showing system inventory here. This would just be like...,I shouldn't be showing system inventory here. This would just be like related to their own,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C148,No current evidence packet has yet closed this row.,
C149,narrated,00:20:17.698,profile.,profile.,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C149,Transcript filler or acknowledgment without a separate product request.,
C150,narrated,00:20:20.548,"So like either like just their transit, maybe it's this.","So like either like just their transit, maybe it's this.",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C150,No current evidence packet has yet closed this row.,
C151,narrated,00:20:31.848,Get rid of this. Quick notes is good probably.,Get rid of this. Quick notes is good probably.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C151,No current evidence packet has yet closed this row.,
C152,narrated,00:20:42.324,"Okay, that's cool. Um but it needs to show somewhere like saved or ok...","Okay, that's cool. Um but it needs to show somewhere like saved or okay what's that uh it's still be good to just have like a save right here and a li little like some way of",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C152,Relationship save-state visibility is not yet complete.,
C153,narrated,00:21:00.824,"like if these run two different days, it'd be good to show that they'...","like if these run two different days, it'd be good to show that they're two different entries and date that both of them are put in.",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C153,Relationship save-history visibility is not yet complete.,
C154,narrated,00:21:08.974,Get rid of the comments thing for now.,Get rid of the comments thing for now.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C154,Context-setting or already-carried-forward note pending explicit replay reuse.,
C155,narrated,00:21:39.508,They're just it's so busy.,They're just it's so busy.,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C155,No current evidence packet has yet closed this row.,
C156,narrated,00:21:42.508,"There's all these, there's all these then there's all this below.","There's all these, there's all these then there's all this below.",open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C156,No current evidence packet has yet closed this row.,
C157,narrated,00:21:47.408,Across the board this just needs to get figured out.,Across the board this just needs to get figured out.,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C157,No current evidence packet has yet closed this row.,
C158,narrated,00:21:55.458,Only this for now.,Only this for now.,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C158,No current evidence packet has yet closed this row.,
C159,narrated,00:22:04.458,For all the advanced filters like it takes up too much space.,For all the advanced filters like it takes up too much space.,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C159,No current evidence packet has yet closed this row.,
C160,narrated,00:22:09.012,right now.,right now.,rejected with evidence,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C160,Transcript filler or acknowledgment without a separate product request.,
C161,narrated,00:22:11.262,Um,Um,rejected with evidence,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C161,Transcript filler or acknowledgment without a separate product request.,
C162,narrated,00:22:14.112,yeah. We just need to do like a refresh of the U_I_ and U_X_ for the ...,yeah. We just need to do like a refresh of the U_I_ and U_X_ for the advanced filters 'cause this is,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C162,No current evidence packet has yet closed this row.,
C163,narrated,00:22:22.612,If it just looks horrible and it's h,If it just looks horrible and it's h,open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C163,No current evidence packet has yet closed this row.,
C164,narrated,00:22:24.712,"confusing and hard to know and Jesus yeah, let's just apply these thi...","confusing and hard to know and Jesus yeah, let's just apply these things far apart from each other because of these it's just really bad.",open,TER-702,Operations chrome compression,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C164,No current evidence packet has yet closed this row.,
C165,narrated,00:22:51.380,so I see.,so I see.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C165,Transcript filler or acknowledgment without a separate product request.,
C166,narrated,00:22:54.330,"Yeah, inventory needs to be","Yeah, inventory needs to be",open,TER-703,Inventory first-class workspace,browser replay plus route/IA proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C166,Inventory is still nested inside Operations rather than being a first-class workspace.,
