page_key,finding_id,severity,title,primary_theme,all_themes,primitive
ShrinkageReportPage,UX-1,P2,Title 'Shrinkage Report' is rendered twice in the header,T-05,"T-05,T-04,T-09",SpreadsheetPilotGrid.numeric
ShrinkageReportPage,UX-2,P1,"Shrinkage-by-Reason pie chart has no legend, labels, or values",T-05,T-05,SpreadsheetPilotGrid.numeric
ShrinkageReportPage,UX-3,P2,'Suspicious Events' KPI is undefined and non-interactive,PER-PAGE,,per-page ticket
ProductIntakeSlicePage,UX-1,P1,Empty state shows a full toolbar and table that cannot be used,T-02,"T-02,T-04",OperationalStateSurface
ProductIntakeSlicePage,UX-2,P2,Two identical 'Back to Receiving Queue' buttons compete for the same action,T-02,T-02,OperationalStateSurface
ProductIntakeSlicePage,UX-3,P2,H1 'Receiving' duplicates the nav tab and ignores draft context,T-06,"T-06,T-08",WorkspaceFilterBar
InventoryBrowseSlicePage,UX-1,P1,Status column shows raw enum tokens instead of human labels,PER-PAGE,,per-page ticket
InventoryBrowseSlicePage,UX-2,P2,Per-row 'Gallery' button is redundant and crowds the row,T-07,T-07,ManusSheet
InventoryBrowseSlicePage,UX-3,P2,Toolbar controls have no state and no result count,T-07,T-07,ManusSheet
PurchaseOrdersSlicePage,UX-1,P1,Primary action 'Start Receiving' is visually indistinguishable from secondary actions and gives no feedback about selection,T-02,"T-02,T-05,T-03",OperationalStateSurface
PurchaseOrdersSlicePage,UX-2,P1,Default sort buries actionable POs under completed ones,PER-PAGE,,per-page ticket
PurchaseOrdersSlicePage,UX-3,P2,EXPECTED column is entirely empty and TOTAL formatting is inconsistent,PER-PAGE,,per-page ticket
SystemMetricsPage,UX-1,P1,No overall health verdict or threshold coloring,T-05,T-05,SpreadsheetPilotGrid.numeric
SystemMetricsPage,UX-2,P2,No 'as of' timestamp or refresh control,T-05,"T-05,T-10,T-12",SpreadsheetPilotGrid.numeric
SystemMetricsPage,UX-3,P2,Event-loop lag promised by baseline is not visible,PER-PAGE,,per-page ticket
TimeClockPage,UX-1,P1,Hero 'Ready to start your day?' card triples up with the status badge and wastes the fold,T-07,"T-07,T-04,T-03",ManusSheet
TimeClockPage,UX-2,P2,KPI tiles render four zeroes with no framing or comparison,PER-PAGE,,per-page ticket
TimeClockPage,UX-3,P2,'Back' button on a top-level nav destination is a dead-end pattern,T-07,"T-07,T-04,T-11,T-09",ManusSheet
TodoListsPage,UX-1,P1,Header subtitle contradicts the active tab,T-08,T-08,LinearWorkspaceShell.tabGroups
TodoListsPage,UX-2,P2,Empty canvas below CTAs wastes ~600px and hides the loading state,T-02,"T-02,T-03",OperationalStateSurface
TodoListsPage,UX-3,P2,New List vs New Todo distinction is unexplained at the point of decision,PER-PAGE,,per-page ticket
VIPDashboard,UX-1,P1,Internal Command Palette FAB is exposed on the client-facing login,T-11,T-11,navigation.sidebarVisible
VIPDashboard,UX-2,P1,Login header is generic 'VIP Client Portal' with no TERP brand or client context,PER-PAGE,,per-page ticket
VIPDashboard,UX-3,P2,Password field has no show/hide toggle,PER-PAGE,,per-page ticket
VIPDashboard,UX-4,P2,No support path if a buyer cannot sign in,PER-PAGE,,per-page ticket
VIPDashboard,UX-5,P2,Missing 'Remember me' / session persistence control,T-12,T-12,OperationalStateSurface.error
VIPDashboard,UX-6,P2,Login card floats in a void with no value reinforcement,T-14,T-14,DashboardLayout.responsive
VIPDashboard,UX-7,P3,'Forgot password?' link is typographically indistinguishable from body text,T-02,T-02,OperationalStateSurface
VIPDashboard,UX-8,P1,Dashboard-level assessment is blocked: no empty/loading state visible for `/vip-portal/dashboard`,T-02,T-02,OperationalStateSurface
VIPLogin,UX-1,P2,No brand identity — page doesn't look like a legitimate TERP portal,T-15,T-15,config/glossary
VIPLogin,UX-2,P2,Password field has no show/hide toggle,T-05,T-05,SpreadsheetPilotGrid.numeric
VIPLogin,UX-3,P3,'Forgot password?' doesn't read as a link,T-02,T-02,OperationalStateSurface
WarehousePickPackPage,UX-1,P1,Desktop chrome swallows a page spec'd as touch-first,T-04,"T-04,T-11,T-09,T-14",AppSidebar+navState
WarehousePickPackPage,UX-2,P1,Stat tiles look like filters but aren't,PER-PAGE,,per-page ticket
WarehousePickPackPage,UX-3,P1,Order cards carry no triage information,T-05,T-05,SpreadsheetPilotGrid.numeric
WarehousePickPackPage,UX-4,P1,No scan-to-jump on the list view,T-05,T-05,SpreadsheetPilotGrid.numeric
WarehousePickPackPage,UX-5,P2,"Visual hierarchy celebrates the backlog, not the action",T-04,T-04,AppSidebar+navState
WarehousePickPackPage,UX-6,P2,Unlabeled floating action button in bottom-right,PER-PAGE,,per-page ticket
WarehousePickPackPage,UX-7,P2,No refresh control and no visible last-updated timestamp,T-12,T-12,OperationalStateSurface.error
WarehousePickPackPage,UX-8,P3,'1 items' grammar and unreadable 13-digit order IDs,PER-PAGE,,per-page ticket
WorkflowQueuePage,UX-1,P1,Fourth column clipped; board doesn't fit viewport,T-04,"T-04,T-14",AppSidebar+navState
WorkflowQueuePage,UX-2,P2,Redundant status badge on every card duplicates the column,T-06,"T-06,T-10",WorkspaceFilterBar
WorkflowQueuePage,UX-3,P2,"View switcher reads as unrelated actions, not a tab set",T-08,T-08,LinearWorkspaceShell.tabGroups
